id;type_id;division_id;type_name;orders;create_by;create_name;create_dept_id;create_dept_name;modify_by;modify_name;modify_dept_id;modify_dept_name;start_time;end_time;create_time;modify_time
1;13143;Shirt Bacon Ergonomic;Customizable Liaison Books;8985;Investment Account;transmitting Music Right-sized;Central withdrawal;Run user-centric Mall;Afghanistan Incredible Plastic Gloves;payment quantifying Singapore Dollar;Auto Loan Account Central;Convertible Marks;2020-01-06T01:16:54;2020-01-05T08:57:44;2020-01-05T16:52:30;2020-01-05T14:17:03
2;11006;open-source;Spring green overriding;28586;Handcrafted Soft Car Hat;recontextualize Digitized;Shirt Kwacha Yen;Awesome Rubber Keyboard;neural leverage;scalable;Ramp;auxiliary Savings Account;2020-01-05T07:46:26;2020-01-06T00:04:15;2020-01-06T05:11:59;2020-01-05T21:03:10
3;41519;Cambridgeshire;Cambridgeshire Croatia;554;envisioneer;infrastructures e-enable sexy;Rustic Metal Bacon Stand-alone User-friendly;Mississippi Checking Account;intangible;platforms calculating;integrate channels Awesome Concrete Car;Shoes;2020-01-05T16:09:10;2020-01-06T02:55:30;2020-01-05T12:01:46;2020-01-05T12:27:04
4;36527;killer Intelligent mesh;Generic Metal Bacon;76568;Manors;coherent Fresh;Mexican Peso Mexican Unidad de Inversion (UDI);Awesome Soft Hat haptic;Refined Granite Fish envisioneer;synthesizing Computer transform;withdrawal Sleek Berkshire;e-tailers;2020-01-05T14:30:12;2020-01-05T13:26:37;2020-01-05T11:08:33;2020-01-05T07:18:17
5;38196;invoice Markets Iranian Rial;District National Electronics;33116;high-level;ADP;wireless;Lithuanian Litas;Fantastic Field digital;Plain Rustic Soft Gloves leading-edge;Tools THX;withdrawal Rapid;2020-01-06T01:33:33;2020-01-05T14:21:20;2020-01-06T01:43:06;2020-01-05T10:19:51
6;96886;Soft HTTP executive;Human;93345;Fresh Burundi Franc;Metal Ukraine Mauritius Rupee;transition connecting Bedfordshire;bypassing;Electronics ivory;Parkway cyan International;Incredible Engineer;Oregon;2020-01-05T20:55:14;2020-01-06T02:11:25;2020-01-05T07:49:39;2020-01-05T09:36:58
7;83836;Alabama Home Loan Account Villages;copying;81723;Frozen Rubber;Bedfordshire Hills methodologies;Frozen disintermediate;Managed;Soap Centralized;Investment Account payment;transmitter;FTP;2020-01-05T17:54:12;2020-01-05T21:38:46;2020-01-05T17:16:12;2020-01-06T06:29:04
8;70651;process improvement Table mindshare;Investor;8716;withdrawal Director Codes specifically reserved for testing purposes;parallelism magnetic;Chief;Borders olive repurpose;deposit magnetic Car;Accountability Wyoming;middleware Computer;Unbranded parse Borders;2020-01-05T11:46:44;2020-01-05T07:34:20;2020-01-06T05:07:06;2020-01-05T10:41:30
9;25908;Mississippi;Polarised;71514;Credit Card Account Heights Guinea;Gorgeous Rubber Ball Ranch;IB intangible Response;Surinam Dollar harness;auxiliary;Isle of Man Handcrafted Frozen Chicken;indexing USB;connecting parsing Liechtenstein;2020-01-06T01:56:26;2020-01-06T02:57:53;2020-01-06T00:14:18;2020-01-05T18:46:27
10;40652;magenta;Garden Buckinghamshire Savings Account;90872;transform;Mouse;Cross-platform B2C;encryption Books Congolese Franc;Licensed Concrete Car;sticky;Incredible;redundant Shoes array;2020-01-05T13:05:25;2020-01-06T01:23:56;2020-01-06T05:37:19;2020-01-06T00:03:32
